Language of Original Document,Document Type,Year,Authors,Title,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Source,EID
English,Article,2018,"Strassl R., Schiemann M., Doberer K., Görzer I., Puchhammer-Stöckl E., Eskandary F., Kikić Ž., Gualdoni G.A., Vossen M.G., Rasoul-Rockenschaub S., Herkner H., Böhmig G.A., Bond G.",Quantification of torque teno virus viremia as a prospective biomarker for infectious disease in kidney allograft recipients,Journal of Infectious Diseases,218,8,,1191,1199,,31,10.1093/infdis/jiy306,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054994203&doi=10.1093%2finfdis%2fjiy306&partnerID=40&md5=f509a8411f46a6ad697f2864628be431,"Background. Drug-induced immunosuppression following kidney transplantation is crucial to prevent allograft rejection, but increases risk for infectious disease. Tailoring of drug dosing to prevent both rejection and infection is greatly desirable. The apathogenic and ubiquitous torque teno virus (TTV) reflects immunocompetence of the host and might be a potential candidate for immunologic monitoring. Methods. To assess TTV as an infection biomarker, virus load was prospectively quantified in peripheral blood of 169 consecutive renal allograft recipients at the Medical University Vienna. Results. Patients with infection showed higher TTV levels compared to patients without infection (4.2 × 10 8 copies/mL [interquartile range, IQR, 2.7 × 10 7 –1.9 × 10 9 ] vs 2.9 × 10 7 [IQR 1.0 × 10 6 –7.2 × 10 8 ]; P = .006). Differences in TTV load became evident almost 3 months before infection (median 77 days, IQR 19–98). Each log level of TTV copies/mL increased the odds ratio for infection by 23% (95% confidence interval 1.04–1.45; P = .014). TTV &gt;3.1 × 10 9 copies/mL corresponded to 90% sensitivity to predict infections. Logistic regression demonstrated independent association between TTV levels and infection. Conclusions. TTV quantification predicts infection after kidney transplantation and might be a potential tool to tailor immunosuppressive drug therapy. © The Author(s) 2018.",Scopus,2-s2.0-85054994203
English,Article,2018,"Yang F.-J., Shu K.-H., Chen H.-Y., Chen I.-Y., Lay F.-Y., Chuang Y.-F., Wu C.-S., Tsai W.-C., Peng Y.-S., Hsu S.-P., Chiang C.-K., Wang G., Chiu Y.-L.",Anti-cytomegalovirus IgG antibody titer is positively associated with advanced T cell differentiation and coronary artery disease in end-stage renal disease,Immunity and Ageing,15,1,15,,,,14,10.1186/s12979-018-0120-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049456407&doi=10.1186%2fs12979-018-0120-0&partnerID=40&md5=08db9a73978f307d08c10ea5e709b5d4,"Background: Accumulating evidence indicates that persistent human cytomegalovirus (HCMV) infection is associated with several health-related adverse outcomes including atherosclerosis and premature mortality in individuals with normal renal function. Patients with end-stage renal disease (ESRD) exhibit impaired immune function and thus may face higher risk of HCMV-related adverse outcomes. Whether the level of anti-HCMV immune response may be associated with the prognosis of hemodialysis patients is unknown. Results: Among 412 of the immunity in ESRD study (iESRD study) participants, 408 were HCMV seropositive and were analyzed. Compared to 57 healthy individuals, ESRD patients had higher levels of anti-HCMV IgG. In a multivariate-adjusted logistic regression model, the log level of anti-HCMV IgG was independently associated with prevalent coronary artery disease (OR = 1.93, 95% CI = 1.2~ 3.2, p = 0.01) after adjusting for age, sex, hemoglobin, diabetes, calcium phosphate product and high sensitivity C-reactive protein. Levels of anti-HCMV IgG also positively correlated with both the percentage and absolute number of terminally differentiated CD8+ and CD4+ CD45RA+ CCR7- TEMRA cells, indicating that immunosenescence may participate in the development of coronary artery disease. Conclusion: This is the first study showing that the magnitude of anti-HCMV humoral immune response positively correlates with T cell immunosenescence and coronary artery disease in ESRD patients. The impact of persistent HCMV infection should be further investigated in this special patient population. © 2018 The Author(s).",Scopus,2-s2.0-85049456407
English,Article,2018,"Cusato J., Boglione L., De Nicolò A., Favata F., Ariaudo A., Mornese Pinna S., Guido F., Avataneo V., Cantù M., Carcieri C., Cariti G., Di Perri G., D’Avolio A.",Vitamin D pathway gene polymorphisms and hepatocellular carcinoma in chronic hepatitis C-affected patients treated with new drugs,Cancer Chemotherapy and Pharmacology,81,3,,615,620,,4,10.1007/s00280-018-3520-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040788276&doi=10.1007%2fs00280-018-3520-0&partnerID=40&md5=3b3fdf6aa34618448b578c4766e2ef9d,"Purpose: Since HCV infection may lead to hepatocellular carcinoma (HCC) and vitamin D (deficiency) is related to cancer, we investigated if SNPs in genes involved in vitamin D pathway could predict HCV-related HCC presence in patients treated with new anti-HCV drugs. Methods: Patients with chronic hepatitis C and treated with direct-acting antivirals were enrolled. SNPs in VDR, CYP27B1, CYP24A1 and GC genes were assessed through real-time PCR. 258 patients were analyzed. Results: HCC was present in six patients, all taking sofosbuvir, all males and five/six had cirrhosis. HCV-RNA log levels at baseline were statistically different between patients with and without HCC. VDR FokI T > C SNP resulted associated with HCC: all the CC patients were free from HCC. An association between HCC presence and undetectable HCV-RNA at 1 month of therapy was suggested; cirrhosis was related to HCC. HCC risk factors were age, ribavirin administration, IL28Brs12979860CC and previous treatments; VDR FokICC, sex and insulin resistance were protective factors. Conclusions: These data highlighted vitamin D pathway gene SNPs and HCC relationship in the Italian population; further studies are required. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature.",Scopus,2-s2.0-85040788276
English,Article,2017,"Schiemann M., Puchhammer-Stöckl E., Eskandary F., Kohlbeck P., Rasoul-Rockenschaub S., Heilos A., Kozakowski N., Görzer I., Kikić Ž., Herkner H., Böhmig G.A., Bond G.",Torque Teno Virus Load-Inverse Association with Antibody-Mediated Rejection after Kidney Transplantation,Transplantation,101,2,,360,367,,41,10.1097/TP.0000000000001455,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981717432&doi=10.1097%2fTP.0000000000001455&partnerID=40&md5=65fef86de9337d58e47e403e35393bc9,"Background Antibody-mediated rejection (AMR) represents one of the cardinal causes of late allograft loss after kidney transplantation, and there is great need for noninvasive tools improving early diagnosis of this rejection type. One promising strategy might be the quantification of peripheral blood DNA levels of the highly prevalent and apathogenic Torque Teno virus (TTV), which might mirror the overall level of immunosuppression and thus help determine the risk of alloimmune response. Methods To assess the association between TTV load in the peripheral blood and AMR, 715 kidney transplant recipients (median, 6.3 years posttransplantation) were subjected to a systematical cross-sectional AMR screening and, in parallel, TTV quantification. Results Eighty-six of these recipients had donor-specific antibodies and underwent protocol biopsy, AMR-positive patients (n = 46) showed only 25% of the TTV levels measured in patients without AMR (P = 0.003). In a generalized linear model, higher TTV levels were associated with a decreased risk for AMR after adjustment for potential confounders (risk ratio 0.94 per TTV log level; 95% confidence interval 0.90-0.99; P = 0.02). Conclusions Future studies will have to clarify whether longitudinal assessment of TTV load might predict AMR risk and help guide the type and intensity of immunosuppression to prevent antibody-mediated graft injury. © 2016 Wolters Kluwer Health, Inc. All rights reserved.",Scopus,2-s2.0-84981717432
English,Article,2016,"da Silva R.C., Diniz M.F.H.S., Alvim S., Vidigal P.G., Fedeli L.M.G., Barreto S.M.",Physical activity and lipid profile in the ELSA-Brasil study,Arquivos Brasileiros de Cardiologia,107,1,,10,18,,25,10.5935/abc.20160091,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978984510&doi=10.5935%2fabc.20160091&partnerID=40&md5=d3a3338bca804eb72f2e7d52421e872c,"Background: Regular physical activity (PA) induces desirable changes in plasma levels of high- and low-density lipoproteins (HDL and LDL, respectively) and triglycerides (TG), important risk factors for cardiometabolic diseases. However, doubts whether intensity and duration have equivalent benefits remain. Objective: To assess the association of PA intensity and duration with HDL, LDL and TG levels. Methods: Cross-sectional study with 12,688 participants from the Brazilian Longitudinal Study of Adult Health (ELSA-Brasil) baseline, who were not on lipid-lowering medication. After adjustment for important covariates, multiple linear regression was used to assess the association of PA intensity and duration with HDL, LDL and TG (natural logarithm) levels. Results: Both moderate and vigorous PA and PA practice ≥ 150 min/week were significantly associated with higher HDL and lower TG levels. Vigorous PA was associated with lower LDL only on univariate analysis. After adjustments, moderate and vigorous PA increased mean HDL level by 0.89 mg/dL and 1.71 mg/dL, respectively, and reduced TG geometric mean by 0.98 mg/dL and 0.93 mg/dL, respectively. PA practice ≥ 150 min/week increased mean HDL level by 1.05 mg/dL, and decreased TG geometric mean by 0.98 mg/dL. Conclusion: Our findings reinforce the benefits of both PA parameters studied on HDL and TG levels, with a slight advantage for vigorous PA as compared to the recommendation based only on PA duration. © 2016, Arquivos Brasileiros de Cardiologia. All rights reserved.",Scopus,2-s2.0-84978984510
English,Article,2016,"Chien Y.-T., Hornig A., Lee C.",Soft-collinear mode for jet cross sections in soft collinear effective theory,Physical Review D,93,1,14033,,,,47,10.1103/PhysRevD.93.014033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956619072&doi=10.1103%2fPhysRevD.93.014033&partnerID=40&md5=43c27d8d54c658b0218ecb606bc9334a,"We propose the addition of a new ""soft-collinear"" mode to soft collinear effective theory (SCET) below the usual soft scale to factorize and resum logarithms of jet radii R in jet cross sections. We consider exclusive 2-jet cross sections in e+e- collisions with an energy veto Λ on additional jets. The key observation is that there are actually two pairs of energy scales whose ratio is R: the transverse momentum QR of the energetic particles inside jets and their total energy Q, and the transverse momentum ΛR of soft particles that are cut out of the jet cones and their energy Λ. The soft-collinear mode is necessary to factorize and resum logarithms of the latter hierarchy. We show how this factorization occurs in the jet thrust cross section for cone and kT-type algorithms at O(αs) and using the thrust cone algorithm at O(αs2). We identify the presence of hard-collinear, in-jet soft, global (veto) soft, and soft-collinear modes in the jet thrust cross section. We also observe here that the in-jet soft modes measured with thrust are actually the ""csoft"" modes of the theory SCET+. We dub the new theory with both csoft and soft-collinear modes ""SCET++."" We go on to explain the relation between the ""unmeasured"" jet function appearing in total exclusive jet cross sections and the hard-collinear and csoft functions in measured jet thrust cross sections. We do not resum logs that are nonglobal in origin, arising from the ratio of the scales of soft radiation whose thrust is measured at Qτ/R and of the soft-collinear radiation at 2ΛR. Their resummation would require the introduction of additional operators beyond those we consider here. The steps we outline here are a necessary part of summing logs of R that are global in nature and have not been factorized and resummed beyond leading-log level previously. © 2016 American Physical Society.",Scopus,2-s2.0-84956619072
English,Article,2015,"Al-Qadiri H., Sablani S.S., Ovissipour M., Al-Alami N., Govindan B., Rasco B.","Effect of oxygen stress on growth and survival of Clostridium perfringens, Campylobacter jejuni, and Listeria monocytogenes under different storage conditions",Journal of Food Protection,78,4,,691,697,,17,10.4315/0362-028X.JFP-14-427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926364097&doi=10.4315%2f0362-028X.JFP-14-427&partnerID=40&md5=6352ff93a753ec80761906a77f52ee2e,"This study investigated the growth and survival of three foodborne pathogens (Clostridium perfringens, Campylobacter jejuni, and Listeria monocytogenes) in beef (7% fat) and nutrient broth under different oxygen levels. Samples were tested under anoxic (<0.5%), microoxic (6 to 8%), and oxic (20%) conditions during storage at 7°C for 14 days and at 22°C for 5 days. Two initial inoculum concentrations were used (1 and 2 log CFU per g of beef or per ml of broth). The results show that C. perfringens could grow in beef at 22°C, with an increase of approximately 5 log under anoxic conditions and a 1-log increase under microoxic conditions. However, C. perfringens could not survive in beef held at 7°C under microoxic and oxic storage conditions after 14 days. In an anoxic environment, C. perfringens survived in beef samples held at 7°C, with a 1-log reduction. A cell decline was observed at 2 log under these conditions, with no surviving cells at the 1-log level. However, the results show that C. jejuni under microoxic conditions survived with declining cell numbers. Significant increases in L. monocytogenes (5 to 7 log) were observed in beef held at 22°C for 5 days, with the lowest levels recovered under anoxic conditions. L. monocytogenes in refrigerated storage increased by a factor of 2 to 4 log. It showed the greatest growth under oxic conditions, with significant growth under anoxic conditions. These findings can be used to enhance food safety in vacuum-packed and modified atmosphere-packaged food products. Copyright ©, International Association for Food Protection.",Scopus,2-s2.0-84926364097
English,Article,2014,"Tau P., Mancon A., Mileto D., Di Nardo Stuppino S., Bottani G., Gismondo M.R., Galli M., Micheli V., Rusconi S.",Favorable therapeutic response with an antiretroviral salvage regimen in an HIV-1-positive subject infected with a CRF11-cpx virus,AIDS Research and Human Retroviruses,30,5,,480,483,,,10.1089/aid.2013.0264,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899890988&doi=10.1089%2faid.2013.0264&partnerID=40&md5=263e163207913b32082ed29ec42395d3,"HIV drug resistance still represents a crucial problem in antiretroviral therapy. We report a case of a naive patient, harboring a CRF11-cpx virus, which showed drug resistance mutations in the reverse transcriptase. A drug resistance genotyping test was performed for the pol (protease, reverse transcriptase, and integrase) and V3 regions. The initial clinical parameter results showed a 4 log level of HIV-RNA (12,090?cp/ml) and a very low CD4 + cell count (35 cells/μl). We designed an initial highly active antiretroviral therapy (HAART) regimen including lamivudine (3TC)+abacavir (ABC)+booster ritonavir (DRV/r). The virus was highly resistant to all nucleoside and nucleotide reverse transcriptase inhibitors (NRTIs) and nonnucleoside reverse transcriptase inhibitors (NNRTIs) except for ABC, tenofovir (TDF), and efavirenz (EFV) and was susceptible to all protease inhibitors (PIs) and integrase inhibitors (INIs). A salvage regimen including raltegravir (RAL)+DRV/r was started. Ten months later, the immunovirological status shows CD4+ 142/μl and HIV-RNA &lt;37?cp/ml. Our results demonstrate the effectiveness of a treatment combination that includes RAL+DRV/r in a patient infected with a complex X4-tropic CRF11-cpx virus. © Copyright 2014, Mary Ann Liebert, Inc. 2014.",Scopus,2-s2.0-84899890988
English,Article,2012,"Klu Y.A.K., Williams J.H., Phillips R.D., Chen J.",Survival of Lactobacillus rhamnosus GG as Influenced by Storage Conditions and Product Matrixes,Journal of Food Science,77,12,,M659,M663,,17,10.1111/j.1750-3841.2012.02969.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871232476&doi=10.1111%2fj.1750-3841.2012.02969.x&partnerID=40&md5=1c9267e825e46eb96b665e09896edefb,"Mortality resulting from diarrhea especially that occurs in children younger than 5 y of age ranks 3rd among all deaths caused by infectious diseases worldwide. Probiotics such as Lactobacillus rhamnosus GG are clinically shown to effectively reduce the incidence of diarrhea in children. A food substrate is one of the major factors regulating the colonization of microorganisms in human gastrointestinal tracts. Peanut butter is a nutritious, low-moisture food that could be a carrier for probiotics. In this study, we observed the influence of storage conditions and product matrixes on the survival of L. rhamnosus GG. Cells of L. rhamnosus GG were inoculated into full fat or reduced fat peanut butter at 107 CFU/g. Inoculated peanut butter was stored at 4, 25, or 37 °C for 48 wk. Samples were drawn periodically to determine the populations of L. rhamnosus GG. Results showed that there was no significant decrease in the viable counts of L. rhamnosus GG in products stored 4 °C. The survivability of L. rhamnosus GG decreased with increasing storage temperature and time. Product matrixes did not significantly affect the survival of L. rhamnosus GG except at 37 °C. Populations of L. rhamnosus GG were preserved at &gt;6 logs in products stored at 4 °C for 48 wk and at 25 °C for 23 to 27 wk. At 37 °C, the 6-log level could not be maintained for even 6 wk. The results suggest that peanut butter stored at 4 and 25 °C could serve as vehicles to deliver probiotics. © 2012 Institute of Food Technologists®.",Scopus,2-s2.0-84871232476
English,Article,2012,"Levin M.F., Snir O., Liebermann D.G., Weingarden H., Weiss P.L.",Virtual Reality Versus Conventional Treatment of Reaching Ability in Chronic Stroke: Clinical Feasibility Study,Neurology and Therapy,1,1,,1,15,,44,10.1007/s40120-012-0003-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977119181&doi=10.1007%2fs40120-012-0003-9&partnerID=40&md5=02053a2b7e4389442c70ebd9380e72d9,"Introduction: The objective of this study was to evaluate the potential of exercises performed in a 2D video-capture virtual reality (VR) training environment to improve upper limb motor ability in stroke patients compared to those performed in conventional therapy. Methods: A small sample randomized control trial, in an outpatient rehabilitation center with 12 patients with chronic stroke, aged 33-80 years, who were randomly allocated to video-capture VR therapy and conventional therapy groups. All patients participated in four clinical evaluation sessions (pre-test 1, pre-test 2, post-test, follow-up) and nine 45-minute intervention sessions over a 3-week period. Main outcomes assessed were Body Structure and Function (impairment: Fugl-Meyer Assessment [FMA]; Composite Spasticity Index [CSI]; Reaching Performance Scale for Stroke), Activity (Box and Blocks; Wolf Motor Function Test [WMFT]), and Participation (Motor Activity Log) levels of the International Classification of Functioning. Results: Improvements occurred in both groups, but more patients in the VR group improved upper limb clinical impairment (FMA, CSI) and activity scores (WMFT) and improvements occurred earlier. Patients in the VR group also reported satisfaction with the novel treatment. Conclusions: The modest advantage of VR over conventional training supports further investigation of the effect of video-capture VR or VR combined with conventional therapy in larger-scale randomized, more intense controlled studies. © 2012 The Author(s).",Scopus,2-s2.0-84977119181
English,Conference Paper,2012,"Antić D., Blagojević B.",Microbial immobilisation treatments of cattle hides - A novel approach to hide intervention strategy,CEFood 2012 - Proceedings of 6th Central European Congress on Food,,,,447,451,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926050602&partnerID=40&md5=be08a7d92ab6cbd2334ffc12d586e70b,"Cattle hide decontamination treatments have been recognized as an effective way to reduce microbial contamination of beef carcasses during slaughter and dressing in abattoirs. A range of related techniques - aimed at killing and/or removing pathogens on hides - have been considered in previously published studies. However, reported microbial reductions achievable were relatively limited: around 2-3 logs on decontaminated hides or about 1 log on resulting dressed carcasses. Consequently, to improve the effectiveness of hide treatments, a new approach - treatment to immobilize microbiota on cattle hide rather than to kill it - has been proposed. An insect-produced, natural, food-grade resin (Shellac) was evaluated as an on-hide microbiota-immobilizing agent in a laboratory models system using a sponge-swabbing microbiological sampling method. On hides spray-treated with a Shellac-in-ethanol solution, recoveries of general microbiota (total viable count of bacteria-TVC, Enterobacteriaceae counts and generic E. coli counts) were greatly reduced: up to 6.6 log10 CFU/cm2 reductions. The effects of the Shellac treatment were mainly due to immobilization of bacteria on hair by the resin, and to lesser extent due to bactericidal action of the ethanol. Furthermore, post-slaughter but pre-skinning treatment of hides with Shellac-in-ethanol solution, under practical conditions of small commercial abattoir operation, significantly reduced (up to 1.7 log) levels of general microbiota found on final beef carcasses. Overall, in both laboratory- and abattoir-based experiments, microbial reductions achievable by the Shellac-treatment of hides were superior - on both hides and beef - to those achievable by a control hide treatment using rinse-vacuum with sanitizer. Therefore, the Shellac treatment of hides can be considered as an effective alternative approach to hide decontamination strategies to improve beef safety.",Scopus,2-s2.0-84926050602
English,Article,2012,"Niedz R.P., Evens T.J., Hyndman S.E., Adkins S., Chellemi D.O.",In vitro shoot growth of Brugmansia × candida Pers,Physiology and Molecular Biology of Plants,18,1,,69,78,,4,10.1007/s12298-011-0100-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856371335&doi=10.1007%2fs12298-011-0100-8&partnerID=40&md5=511b3261ced5663aa2d711b2dbec51d4,"The objective of this study was to improve the growth of in vitro shoot cultures of Brugmansia × candida 'Creamsickle'. Several mineral nutrient experiments were conducted to determine the effect of NH 4 +, NO 3 -, K +, FeSO 4/EDTA, ZnSO 4, MnSO 4, and CuSO 4 on quality, leaf width and length, size and weight of shoot mass, and shoot number. The experiment to determine the levels of NH 4 +, NO 3 -, and K +, was conducted as a 2-component NH 4 +: K + mixture crossed by [NO 3 -] and resulted in an experimental design free of ion confounding and capable of separating the effects of proportion and concentration. The results of the NH 4 +-K +-NO 3 - experiment revealed a region in the design space where growth was significantly improved; the region generally had lower total nitrogen and lower NH 4 +:K + ratios than MS medium. The experiments to determine the appropriate levels of Fe, Zn, Mn, and Cu were conducted at six log levels ranging from 0 to 1 mM. Of the four metal salts tested, MnSO 4 had the least effect on in vitro shoot growth and its concentration was reduced from 0. 1 mM (MS level) to 0. 001 mM. CuSO 4 had large effects on in vitro shoot growth and was increased from 0. 0001 mM to 0. 001 mM. A 2-level factorial of NH 4 +-K +-NO 3 -, FeSO 4/EDTA, and ZnSO 4 was conducted and several formulations identified for their improvements of quality and growth. In addition to the changes to MnSO 4 and CuSO 4, these formulations were characterized by lower levels of NH 4 +, K +, NO 3 - and Zn, and higher levels of FeSO 4/EDTA. Overall, several nutrient formulations were identified as superior to MS medium for growth of in vitro shoot cultures of B. 'Creamsickle'. © 2011 Prof. H.S. Srivastava Foundation for Science and Society.",Scopus,2-s2.0-84856371335
English,Article,2010,"Hambach L., Aghai Z., Pool J., Kröger N., Goulmy E.",Peptide length extension skews the minor HA-1 antigen presentation toward activated dendritic cells but reduces its presentation efficiency,Journal of Immunology,185,8,,4582,4589,,6,10.4049/jimmunol.1000213,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049511274&doi=10.4049%2fjimmunol.1000213&partnerID=40&md5=bf6792b721e265efca624115605e9714,"Minor histocompatibility Ags (mHags) are important targets of the graft-versus-leukemia effect after HLA-matched allogeneic stem cell transplantation. mHags are HLA-restricted polymorphic peptides expressed on normal and leukemia cells. Vaccination with hematopoiesis-restricted mHag peptides, such as HA-1, may boost the graft-versus-leukemia effect. However, some animal studies indicate that peptides exactly reflecting immunogenic T cell epitopes (short peptides [SPs]) induce tolerance that is potentially due to systemic Ag spreading. Peptide length extension (long peptides [LPs]) may optimize immune responses by restricting and prolonging Ag presentation on dendritic cells (DCs). In this study, we compared the in vitro characteristics and T cell-stimulatory capacities of a human 30-mer HA-1 LP with the 9-mer HA-1 SP. DCs presented the HA-1 LP and SP and expanded HA-1-specific cytotoxic T cell lines. As hypothesized, HA-1 LP presentation, but not SP presentation, was largely restricted to activated DCs and was nearly absent on other hematopoietic cells. However, DCs presented the HA-1 LP 2-3 log levels less efficiently than the SP. Finally, the decay of HA-1 LP and SP presentation on DCs was comparable. We conclude that HA-1 LP and SP differ in their in vitro characteristics and that only comparative clinical studies after allogeneic stem cell transplantation may reveal the optimal HA-1 vaccine. Copyright © 2010 by The American Association of Immunologists, Inc.",Scopus,2-s2.0-78049511274
Polish,Article,2010,"Neffe K., Kołozyn-Krajewska D.",Potential uses of probiotic bacteria in ripening meat products [Mozliwości zastosowania bakterii probiotycznych w dojrzewaja̧cych produktach miȩsnych],Zywnosc. Nauka. Technologia. Jakosc/Food. Science Technology. Quality,17,5,,167,177,,14,10.15193/zntj/2010/72/167-177,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650639246&doi=10.15193%2fzntj%2f2010%2f72%2f167-177&partnerID=40&md5=29a187b8e167616ac9d92e92f671b9bc,"The objective of the research conducted was to assess the potential growth and survival of selected probiotic strains in ripening meat products using an example of pork loins. The research material comprised raw pork loins and two probiotic strains Lactobacillus casei LOCK 0900 (Patent No.: P-382760) and Lactobacillus casei ŁOCK 0908 (Patent No.: P-382760). Three kinds of loin samples were analyzed in the experiment: two control samples (loins with and without 0.2% glucose additive), two samples with only Lactobacillus casei ŁOCK 0900 and ŁOCK 0908 probiotic strains added, and the samples with the probiotic strain and 0.2% glucose added. The loin samples prepared in this way ripened for 3 weeks at a temperature of 16°C. Then, the products analyzed were vacuum-packed and stored at 4° C during a period of 6 months. Three series of experiment were performed. Micro-biological analyses had to determine the count of lactic acid bacteria (LAB). They were made 3 weeks after the completion of the 3-week meat ripening process and 6 months after the storage of the vacuum-packed loins using TEMPO® (Biomerieux, France), i.e. an automated system of measuring the count of micro-organisms. It was found that the probiotic strains of Lactobacillus casei ŁOCK 0900 and ŁOCK 0908, added to the cured pork loins, grew and achieved a count of 107 log cfu/g, and in the samples with the additive of 0.2% glucose, their count was 108 log cfu/g. The count of probiotic bacteria in loins stored during a period of 6 months was by 1 to 2 log levels lower compared to the products after the ripening process, but this count was still high enough to consider those products to be probiotic.",Scopus,2-s2.0-78650639246
English,Article,2018,"Hu J., Herbohn J., Chazdon R.L., Baynes J., Wills J., Meadows J., Sohel M.S.I.",Recovery of species composition over 46 years in a logged Australian tropical forest following different intensity silvicultural treatments,Forest Ecology and Management,409,,,660,666,,21,10.1016/j.foreco.2017.11.061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037536947&doi=10.1016%2fj.foreco.2017.11.061&partnerID=40&md5=36c7f80c602ec957781978347ec17b23,"Currently, more than 400 million hectares of tropical forests worldwide are now being managed for timber production. Understanding the long-term responses of tropical forests to management practices is critical for managing tropical forests sustainably. To investigate the responses of tropical forest dynamics to different silvicultural treatment intensities, permanent plots were established in 1967 in an Australian tropical forest with four treatments: selective logging only as a control and selective logging followed by three differing intensity silvicultural treatments in 1969. We investigated changes in the number of species, species dominance, and species composition of trees (DBH ≥ 10 cm) from 1967 to 2015. Before selective logging, the number of tree species did not differ between the treatments, ranging from 70 to 75. Selective logging alone had small immediate effects on the number of species and species abundance distributions. After silvicultural treatment, the number of species in the low-intensity treatment, medium-intensity treatment and high-intensity treatment were reduced to 48, 42, and 18 respectively. The number of species in the control, low-intensity, and medium-intensity treatments recovered to their pre-logging levels within 46 years, but recovery in the high-intensity treatment was incomplete due to much greater initial species loss through silvicultural treatment. Silvicultural treatments increased species dominance, with the differences being progressively more marked as the level of treatment intensity increased. Over 46 years, tree species abundance distribution in the silvicultural treatments became more even and largely returned to pre-logging conditions, with more rapid recovery after low and intermediate silvicultural treatments. Following silvicultural treatments, species composition in the logging only, low-intensity and medium-intensity silvicultural treatments did not change markedly, whereas species composition was substantially altered by high-intensity silvicultural treatment and was subsequently distinct from the other treatments. Within 46 years following treatments, species composition in the high intensity treatment showed a recovery trajectory towards pre-logging conditions, leading to increased species compositional similarity among the four treatments. Increasing the intensity of silviculture treatment led to greater time required for recovery of species diversity, composition and compositional similarity. We recommend that high-intensity silvicultural treatments should be avoided if rapid recovery of species diversity and composition is the desired management outcome in tropical rainforests similar to those in our study area. © 2017 Elsevier B.V.",Scopus,2-s2.0-85037536947
English,Article,2011,"Ouédraogo D.-Y., Beina D., Picard N., Mortier F., Baya F., Gourlet-Fleury S.",Thinning after selective logging facilitates floristic composition recovery in a tropical rain forest of Central Africa,Forest Ecology and Management,262,12,,2176,2186,,24,10.1016/j.foreco.2011.08.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054993933&doi=10.1016%2fj.foreco.2011.08.009&partnerID=40&md5=e59718b9ad6871e23f6d35ddf1454f2c,"In the Congo Basin where most timber species are light-demanding, the low logging intensities commonly implemented (1-2 trees harvested ha-1) do not provide sufficient canopy gaps to ensure species regeneration. The regeneration of light-demanding timber species may therefore benefit from more intensive logging, or from post-harvest treatments such as thinning by poison girdling that increases light penetration. Little is known of the impact of post-harvest treatments on the floristic composition of tropical moist forests. This study therefore aimed to assess the effects of low and high selective logging (≃2.33 and 4.73 trees harvested ha-1, and ≃4.96 and 9.16m2ha-1 of basal area removed (logging+damage), respectively) - followed or not by thinning (≃21.14 trees thinned ha-1, and ≃6.57m2ha-1 of basal area removed) - on the floristic composition of a tropical moist forest in the Central African Republic, from 7 to 23 years after logging.We analyzed abundance data for 110 tree genera recorded every year for 14 years in 25 one-hectare permanent subplots. We used multivariate analysis to detect floristic variations between treatments and we assessed changes in floristic composition throughout the period. We compared floristic composition recovery between thinned and unthinned subplots, using unlogged subplots as a reference characterizing the pre-logging floristic composition.Logging and thinning had little impact on the floristic composition of the subplots as quantified 7 to 23 years later, though they did increase the proportion of pioneer species. Surprisingly, additional thinning at both logging levels failed to further distance floristic composition from that of the unlogged subplots, though it did increase disturbance intensity. Floristic composition recovery appeared to be facilitated when thinning was associated with logging. Thinning seemed to favor the growth and survival of non-pioneer species, to the detriment of pioneer species. These non-pioneer species could either be non-pioneer light demanders or shade-bearers. One explanation for this is that thinning by tree-poison girdling increased light availability without causing major damage to the forest, and thus increased the growth and survival of advance regeneration. The resulting enhanced competition then reduced the survival of pioneer species. © 2011 Elsevier B.V.",Scopus,2-s2.0-80054993933
